[dotenv@17.2.3] injecting env (1) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
--- ALL CUSTOMERS ---
ID: 6930553e2504525d431c4365, Name: "Prince Oversease "
ID: 694a70d84b9f1de791dc3c73, Name: "Candylake Nutritions Pvt Ltd"
ID: 694a95091ebc0261c00e1483, Name: "Darling Digital World Pvt Ltd "
ID: 694a9f021ebc0261c00e1956, Name: "Auro Infa Pvt Ltd "
ID: 694bfd198bcd508ef0517cc4, Name: "Tamilnadu News Print & Paper Ltd"
ID: 694cfdf25ea8500690848650, Name: "Royatech Ecosystems "
ID: 694e918bd39b9f3d529694e0, Name: "R Manoharlal & Co"
ID: 694fc2717fc6643e70fe7a62, Name: "Kwality Foods"
ID: 6950069ceaabd1c782ffa5c7, Name: "Kishorchandra Chhotalal "
ID: 69527dd889793d6aed3e5341, Name: "Red Sun Exim "
ID: 695913bce13e7fa0c9f5df36, Name: "Leena Dye Chem "
ID: 695c96b75b4df9a8dc095198, Name: "Gurudev Traders"
ID: 695e2a3a3f7ec8a7617a2996, Name: "Meera Traders "
ID: 695e30163f7ec8a7617a5b72, Name: "Elixir Enterprises "
ID: 695e7f94f99be54aec6a51a0, Name: "J B Traders "
ID: 695fa1ba953c74d56d6bd95f, Name: "Mount Kailash Printpack Machines"
ID: 6960d9df21c9b96c4ba94256, Name: "Yash Traders "
ID: 696111e3970d6d09802991ef, Name: "Dukane IAS India Pvt Ltd "
ID: 6914b863783628cebd34736d, Name: "Elevate HVAC Engineers"
ID: 694be34944c1e07d6836db53, Name: "K Rasiklal Exim Pvt Ltd"
ID: 694beed844c1e07d6836e40f, Name: "Riddhi Marketing"
ID: 694bf6418bcd508ef05175ae, Name: "Intellimech Systems "
ID: 694bf6b58bcd508ef051764f, Name: "Airblow Systems & Equipments"
ID: 694bf8418bcd508ef0517836, Name: "Rathna Spices Pvt Ltd "
ID: 694d118c5ea8500690849782, Name: "S R Sons"
ID: 694fc6cd7fc6643e70fe7b7d, Name: "Renit Foods Pvt Ltd"
ID: 69500a06eaabd1c782ffa959, Name: "Sudha Corrugated Products "
ID: 6950f938df36326210afd91b, Name: "Micron Electricals"
ID: 69513e5b81921ea188d903ba, Name: "Spice Palace Pvt Ltd"
ID: 69514eb600946eb818456ac3, Name: "Goodwill Traders"
ID: 69522a0f3190905a492f02a0, Name: "Sri Comfort air products & service "
ID: 6952445c1093246d382ed217, Name: "Radha Industries "
ID: 6953f9d28878bf735af9cf8b, Name: "Caprico International PTE Ltd"
ID: 69552e572a1ea9c1ed519680, Name: "Caprico International PTE Ltd"
ID: 69590fa2e13e7fa0c9f5c5b1, Name: "Orient Eco Systems Pvt Ltd "
ID: 695df221626e018b57e026b8, Name: "HTL Aircon Pvt Ltd "
ID: 695df7b5626e018b57e03ca1, Name: "Ascent Chemicals "
ID: 695e33db3f7ec8a7617a7248, Name: "Shanmukha Enterprises"
ID: 695e4d9b9d271ce2364f68b2, Name: "mmoser Desing Associates"
ID: 695f4cedc2761abb2b225a3b, Name: "Hanstech Park "
ID: 695f833b5f8ffc24e1ec4e16, Name: "S K Trading "
ID: 695f9ffe953c74d56d6bc449, Name: "Urjas Airtec Pvt Ltd"
ID: 6960b18d7aa11f1c621dad9b, Name: "Artizen "
ID: 69627dd8fcf0bfa7252a87bf, Name: "Sattva "
